 01;Produit;Code piece;Couleur;Taille;Libelle;Quantite;Prix unitaire;Montant
 02;Boutique;;BLAGNAC
 03;Ref. facture;;2018 50 1108 18/04/2018
 04;Total facture;;
 05;Total produits;;
 06;Cumul montant;;33372;;Etat courant = 'attenteTaille'
 07;ANOMALIE MONTANT;;33372;
 08;
001;018;HLESG000-ECS04-003;ANSES LONGUES EN FAUX CUIR POMPON;UNICA;6;7,030;10,
002;019;HLESG000-ECS04-026;ANSES LONGUES EN FAUX CUIR POMPON;UNICA;8;7,030;31120
003;020;HLESG000-PES00-054;ANSES LONGUES EN CUIR;UNICA;10;16,200;2017
004;022;HLESG000-ROS00-008;ANSES LONGUES EN CORDE;UNICA;14;7,390;32
005;023;HLESG000-ROS00-009;ANSES LONGUES EN CORDE;UNICA;10;7,390;33
006;021;HLESG000-ROS00-054;ANSES LONGUES EN CORDE;UNICA;30;7,390;34
007;024;HLESG000-ROS00-076;ANSES LONGUES EN CORDE;UNICA;10;7,390;35
008;025;HLESGC00-ECS01-008;ANSES COURTES EN FAUX CUIR MARTELE;UNICA;10;7,750;2
009;026;HLESGC00-ECS04-026;ANSES COURTES EN FAUX CUIR POMPON;UNICA;8;6,050;1
010;027;HLESGC00-ECS54-075;ANSES COURTES EN FAUX CUIR CLOUS EMAILLES;UNICA;4;16,320;36
011;028;HLESGC00-ECS54-479;ANSES COURTES EN FAUX CUIR CLOUS EMAILLES;UNICA;4;16,320;3
012;029;HLESGC00-ROS00-008;ANSES COURTES EN CORDE;UNICA;12;6,280;4
013;030;HLESGC00-ROS00-009;ANSES COURTES EN CORDE;UNICA;12;6,280;5
014;031;HLESGC00-ROS00-039;ANSES COURTES EN CORDE;UNICA;10;6,280;6
015;008;HLESGC00-OBAGK700-054;ANSES COURTES EN CORDE;UNICA;20;6,000;8,000
016;009;HLESGC00-OCLKS007-055;ANSES COURTES EN CORDE;UNICA;20;8,000;10,000
017;010;HLESGC00-OCLKS007-076;ANSES COURTES EN CORDE;UNICA;10;8,000;8,000
018;011;OBAGB002-OCLKS007-017;CORPS O BAG MINI EVA COMPOUND;UNICA;6;20,000;8,000
019;012;OCLKS007-SIS01-071;O CLOCK BRACELET COVER EN SILICONE
020;013;OCLKS007-SIS01-076;O CLOCK BRACELET COVER EN SILICONE
021;014;OCLKS007-SIS01-086;O CLOCK BRACELET COVER EN SILICONE
022;015;OCLKS007-SIS01-088;O CLOCK BRACELET COVER EN SILICONE
023;016;OCLKS007-SIS01-096;O CLOCK BRACELET COVER EN SILICONE
024;017;OCLKS007-SIS01-484;O CLOCK BRACELET COVER EN SILICONE
