CodeBarre;--028;p016-1-01;ecru;ecru;spring 2018 presentation/catalogo spring 2018 continuativo.txt; manico extra slim goccia
CodeBarre;--008;p016-1-02;bianco;white;spring 2018 presentation/catalogo spring 2018 continuativo.txt; manico extra slim goccia
CodeBarre;--039;p016-1-03;grigio;grey;spring 2018 presentation/catalogo spring 2018 continuativo.txt; manico extra slim goccia
CodeBarre;--009;p016-1-04;blu;blue;spring 2018 presentation/catalogo spring 2018 continuativo.txt; manico extra slim goccia
CodeBarre;--055;p016-1-05;nero;black;spring 2018 presentation/catalogo spring 2018 continuativo.txt; manico extra slim goccia
CodeBarre;--084;p016-1-06;testa di moro;dark brown;spring 2018 presentation/catalogo spring 2018 continuativo.txt; manico extra slim goccia
CodeBarre;--008;p016-1-07;bianco;white;spring 2018 presentation/catalogo spring 2018 continuativo.txt; manico extra slim goccia
CodeBarre;--055;p016-1-08;nero;black;spring 2018 presentation/catalogo spring 2018 continuativo.txt; manico extra slim goccia
CodeBarre;--086;p016-1-09;tortora;dove-grey;spring 2018 presentation/catalogo spring 2018 continuativo.txt; manico extra slim goccia
CodeBarre;--084;p016-1-10;testa di moro;dark brown;spring 2018 presentation/catalogo spring 2018 continuativo.txt; manico extra slim goccia
